,frameno,ant_id,x,y,next_x,next_y,speed,angle,cos(angle),dx,dy
5,1,6,279.646,167.458,283.118,167.458,3.47199999999998,0.0,1.0,0.0,0.0
26,1,27,1056.36,364.805,1055.21,364.805,1.1499999999998636,0.0,1.0,0.0,0.0
35,2,6,283.118,167.458,284.276,167.458,1.1580000000000155,0.0,1.0,3.47199999999998,0.0
56,2,27,1055.21,364.805,1049.47,367.101,6.182169198590417,-0.3805063771123632,0.92847669088526,-1.1499999999998636,0.0
65,3,6,284.276,167.458,281.961,168.616,2.5884723293865872,-0.46382038024995664,0.8943499119994855,1.1580000000000155,0.0
86,3,27,1049.47,367.101,1049.47,364.805,2.2959999999999923,-1.5707963267948966,6.123233995736766e-17,-5.740000000000009,2.2959999999999923
95,4,6,281.961,168.616,284.276,170.93,3.273197366490441,0.7851821340208122,0.7072595205226402,-2.3149999999999977,1.1580000000000155
116,4,27,1049.47,364.805,1046.02,370.545,6.697021726110826,-1.029608580836779,0.5151543687769354,0.0,-2.2959999999999923
125,5,6,284.276,170.93,287.748,165.144,6.747783339734604,-1.0303259954360653,0.514539342061409,2.3149999999999977,2.313999999999993
146,5,27,1046.02,370.545,1046.02,370.545,0.0,,,-3.4500000000000455,5.740000000000009
155,6,6,287.748,165.144,281.961,173.245,9.955680288157094,-0.9505001347566708,0.5812761993657004,3.47199999999998,-5.786000000000001
176,6,27,1046.02,370.545,1047.17,367.101,3.630927705146486,-1.2485232153999855,0.3167234639153179,0.0,0.0
185,7,6,281.961,173.245,279.646,167.458,6.232864028678955,1.1902601567434679,0.37141833823874665,-5.786999999999978,8.100999999999999
206,7,27,1047.17,367.101,1046.02,371.693,4.733810727099264,-1.3254077856296895,0.24293324475707875,1.150000000000091,-3.444000000000017
215,8,6,279.646,167.458,287.748,172.088,9.331629225381791,0.5191726979719609,0.868229952596353,-2.3149999999999977,-5.787000000000006
236,8,27,1046.02,371.693,1048.32,367.101,5.135802176875551,-1.1064520965205062,0.4478365639463156,-1.150000000000091,4.5919999999999845
245,9,6,287.748,172.088,283.118,175.56,5.787200013823613,-0.6434319907397604,0.8000414689211592,8.101999999999975,4.6299999999999955
266,9,27,1048.32,367.101,1048.32,364.805,2.2959999999999923,-1.5707963267948966,6.123233995736766e-17,2.2999999999999545,-4.5919999999999845
275,10,6,283.118,175.56,283.118,176.717,1.1570000000000107,1.5707963267948966,6.123233995736766e-17,-4.6299999999999955,3.4720000000000084
296,10,27,1048.32,364.805,1047.17,363.657,1.624931998577092,0.784527841598116,0.7077219237524319,0.0,-2.2959999999999923
305,11,6,283.118,177.87500000000006,284.276,180.189,3.6600202185233752,1.2488729712940416,0.31639169481615786,0.0,2.3150000000000546
326,11,27,1048.32,365.953,1047.17,364.805,1.1480000000000246,1.5707963267948966,6.123233995736766e-17,0.0,1.1479999999999677
335,12,6,281.96099999999996,180.19000000000005,283.118,180.189,1.1580000000000155,0.0,1.0,-1.157000000000039,2.3149999999999977
356,12,27,1047.1799999999998,354.473,1050.62,364.805,3.449999999999818,0.0,1.0,-1.1400000000001,-11.479999999999961
365,13,6,284.275,180.19000000000005,283.118,175.56,4.628999999999991,-1.5707963267948966,6.123233995736766e-17,2.3140000000000214,0.0
386,13,27,1049.47,369.397,1047.17,367.101,4.144166502446386,-0.5871994983796015,0.8324955085572003,2.290000000000191,14.923999999999978
395,14,6,287.74699999999996,177.87500000000006,295.849,180.189,13.546438720195052,0.348739469183039,0.9398041996839065,3.47199999999998,-2.3149999999999977
416,14,27,1049.47,369.397,1047.17,367.101,0.0,,,0.0,0.0
425,15,6,287.74699999999996,180.19000000000005,291.22,173.245,8.345464456817217,0.9828269568797559,0.5546725438652655,0.0,2.3149999999999977
446,15,27,1049.47,369.397,1047.17,362.509,4.5919999999999845,-1.5707963267948966,6.123233995736766e-17,0.0,0.0
455,16,6,284.275,177.87500000000006,297.006,179.032,8.183346809221728,0.7854845714159027,0.7070456788510737,-3.47199999999998,-2.3149999999999977
476,16,27,1049.47,369.397,1055.21,363.657,8.121545665696853,0.14182740216992068,0.9899593416015235,0.0,0.0
485,17,6,291.219,183.66200000000003,300.478,180.189,3.659703949775202,0.32166414637818536,0.9487106191235236,6.944000000000017,5.786999999999978
506,17,27,1049.47,369.397,1052.91,369.397,6.1836558765830345,-1.189689349154155,0.3719482529275043,0.0,0.0
515,18,6,297.006,183.66200000000003,306.265,180.189,5.786999999999978,0.0,1.0,5.786999999999978,0.0
536,18,27,1049.47,369.397,1046.02,362.509,9.742517333831183,0.7852530044494097,0.7072094166129291,0.0,0.0
545,19,6,299.32099999999997,182.50400000000002,313.209,181.346,7.039729043081151,0.16510197135922183,0.9864016011844633,2.3149999999999977,-1.1580000000000155
566,19,27,1049.47,369.397,1043.73,364.805,3.242794473906695,-0.7867064923500386,0.7061810479901088,0.0,0.0
