,frameno,ant_id,x,y,next_x,next_y,speed,angle,cos(angle),dx,dy
5,1,6,279.646,167.458,283.118,167.458,3.47199999999998,0.0,1.0,-4.5900000000001455,-5.739999999999995
26,1,27,1056.36,364.805,1055.21,364.805,1.1499999999998636,0.0,1.0,0.0,0.0
35,2,6,280.7860000000001,169.754,284.276,167.458,1.1580000000000155,0.0,1.0,1.1400000000001,2.2959999999999923
56,2,27,1056.36,364.805,1049.47,367.101,6.182169198590417,-0.3805063771123632,0.92847669088526,0.0,0.0
65,3,6,276.19599999999997,169.754,281.961,168.616,2.5884723293865872,-0.46382038024995664,0.8943499119994855,-4.5900000000001455,0.0
86,3,27,1056.36,364.805,1049.47,364.805,2.2959999999999923,-1.5707963267948966,6.123233995736766e-17,0.0,0.0
95,4,6,278.49600000000015,169.754,284.276,170.93,3.273197366490441,0.7851821340208122,0.7072595205226402,2.300000000000182,0.0
116,4,27,1056.36,364.805,1046.02,370.545,6.697021726110826,-1.029608580836779,0.5151543687769354,0.0,0.0
125,5,6,276.19599999999997,170.902,287.748,165.144,6.747783339734604,-1.0303259954360653,0.514539342061409,-2.300000000000182,1.1480000000000103
146,5,27,1056.36,364.805,1046.02,370.545,0.0,,,0.0,0.0
155,6,6,270.45599999999996,162.86599999999999,281.961,173.245,9.955680288157094,-0.9505001347566708,0.5812761993657004,-5.740000000000009,-8.036000000000001
176,6,27,1056.36,364.805,1047.17,367.101,3.630927705146486,-1.2485232153999855,0.3167234639153179,0.0,0.0
185,7,6,276.19599999999997,159.42299999999997,279.646,167.458,6.232864028678955,1.1902601567434679,0.37141833823874665,5.740000000000009,-3.443000000000012
206,7,27,1056.36,364.805,1046.02,371.693,4.733810727099264,-1.3254077856296895,0.24293324475707875,0.0,0.0
215,8,6,276.19599999999997,159.42299999999997,287.748,172.088,9.331629225381791,0.5191726979719609,0.868229952596353,0.0,0.0
236,8,27,1056.36,364.805,1048.32,367.101,5.135802176875551,-1.1064520965205062,0.4478365639463156,0.0,0.0
245,9,6,271.60600000000005,159.42299999999997,283.118,175.56,5.787200013823613,-0.6434319907397604,0.8000414689211592,-4.589999999999918,0.0
266,9,27,1056.36,364.805,1048.32,364.805,2.2959999999999923,-1.5707963267948966,6.123233995736766e-17,0.0,0.0
275,10,6,270.45599999999996,161.71799999999996,283.118,176.717,1.1570000000000107,1.5707963267948966,6.123233995736766e-17,-1.150000000000091,2.2950000000000017
296,10,27,1056.36,364.805,1047.17,363.657,1.624931998577092,0.784527841598116,0.7077219237524319,0.0,0.0
305,11,6,271.60600000000005,162.86599999999999,284.276,180.189,3.6600202185233752,1.2488729712940416,0.31639169481615786,1.150000000000091,1.1480000000000103
326,11,27,1056.36,364.805,1047.17,364.805,1.1480000000000246,1.5707963267948966,6.123233995736766e-17,0.0,0.0
335,12,6,276.19599999999997,159.42299999999997,283.118,180.189,1.1580000000000155,0.0,1.0,4.589999999999918,-3.443000000000012
356,12,27,1056.36,364.805,1050.62,364.805,3.449999999999818,0.0,1.0,0.0,0.0
365,13,6,268.166,154.83059999999998,283.118,175.56,4.628999999999991,-1.5707963267948966,6.123233995736766e-17,-8.029999999999973,-4.592399999999998
386,13,27,1056.36,364.805,1047.17,367.101,4.144166502446386,-0.5871994983796015,0.8324955085572003,0.0,0.0
395,14,6,271.60600000000005,154.83059999999998,295.849,180.189,13.546438720195052,0.348739469183039,0.9398041996839065,3.4400000000000546,0.0
416,14,27,1056.36,364.805,1047.17,367.101,0.0,,,0.0,0.0
425,15,6,268.166,154.83059999999998,291.22,173.245,8.345464456817217,0.9828269568797559,0.5546725438652655,-3.4400000000000546,0.0
446,15,27,1056.36,364.805,1047.17,362.509,4.5919999999999845,-1.5707963267948966,6.123233995736766e-17,0.0,0.0
455,16,6,272.75600000000014,157.12699999999998,297.006,179.032,8.183346809221728,0.7854845714159027,0.7070456788510737,4.5900000000001455,2.2964000000000055
476,16,27,1056.36,364.805,1055.21,363.657,8.121545665696853,0.14182740216992068,0.9899593416015235,0.0,0.0
485,17,6,275.0460000000001,157.12699999999998,300.478,180.189,3.659703949775202,0.32166414637818536,0.9487106191235236,2.2899999999999636,0.0
506,17,27,1057.4999999999998,357.91700000000003,1052.91,369.397,6.1836558765830345,-1.189689349154155,0.3719482529275043,1.1399999999998727,-6.887999999999977
515,18,6,273.906,162.86599999999999,306.265,180.189,5.786999999999978,0.0,1.0,-1.1400000000001,5.739000000000004
536,18,27,1056.36,364.805,1046.02,362.509,9.742517333831183,0.7852530044494097,0.7072094166129291,-1.1399999999998727,6.887999999999977
545,19,6,280.7860000000001,167.45799999999997,313.209,181.346,7.039729043081151,0.16510197135922183,0.9864016011844633,6.880000000000109,4.591999999999999
566,19,27,1056.36,364.805,1043.73,364.805,3.242794473906695,-0.7867064923500386,0.7061810479901088,0.0,0.0
575,20,6,285.386,174.34599999999995,318.995,176.717,7.409820308212605,-0.6747620188158849,0.7808556428267421,4.599999999999909,6.887999999999991
596,20,27,1056.36,364.805,1041.43,364.805,2.2999999999999545,0.0,1.0,0.0,0.0
605,21,6,286.5260000000001,175.49399999999997,322.467,179.032,4.17300958541912,0.5880690663947402,0.8320134255457904,1.1400000000001,1.1480000000000103
626,21,27,1056.36,364.805,1041.43,369.397,4.5919999999999845,1.5707963267948966,6.123233995736766e-17,0.0,0.0
636,22,6,287.676,175.49399999999997,327.097,180.189,4.7723735184916025,0.24487702161681796,0.9701671468211888,1.1499999999998636,0.0
657,22,27,1056.36,364.805,1046.02,371.693,5.132223299896372,0.46382188575052885,0.8943492384855112,0.0,0.0
667,23,6,295.71599999999995,177.78999999999996,330.569,187.133,7.763628017879301,1.1071487177940873,0.4472135954999608,8.039999999999964,2.2959999999999923
688,23,27,1056.36,364.805,1046.02,367.101,4.5919999999999845,-1.5707963267948966,6.123233995736766e-17,0.0,0.0
698,24,6,298.00600000000014,185.82599999999996,334.041,183.661,4.9101494885593775,-0.7853981633974524,0.7071067811865447,2.290000000000191,8.036000000000016
719,24,27,1056.36,364.805,1046.02,367.101,0.0,,,0.0,0.0
728,25,6,295.71599999999995,182.38199999999995,338.67,191.762,9.330264840828484,1.0516635063547866,0.4961273960567433,-2.290000000000191,-3.444000000000017
749,25,27,1056.36,364.805,1043.73,370.545,4.135847676111869,-0.9840008042061458,0.5536954402906841,0.0,0.0
758,26,6,301.45599999999996,183.52999999999994,339.827,192.92,1.6369523511696755,0.7858301288133476,0.7068012695502432,5.740000000000009,1.1479999999999961
779,26,27,1056.36,364.805,1046.02,368.249,3.242794473906695,-0.7867064923500386,0.7061810479901088,0.0,0.0
788,27,6,309.48600000000016,185.82599999999996,343.299,196.392,4.9101494885593775,0.7853981633974524,0.7071067811865447,8.0300000000002,2.2960000000000207
809,27,27,1056.36,364.805,1047.17,367.101,1.624931998577253,-0.7845278415980171,0.7077219237525018,0.0,0.0
818,28,6,304.896,189.26999999999995,342.142,199.863,3.658755252814813,-1.2490457723982593,0.3162277660168333,-4.5900000000001455,3.4439999999999884
839,28,27,1056.36,364.805,1047.17,367.101,0.0,,,0.0,0.0
848,29,6,311.7860000000001,189.26999999999995,349.086,197.549,7.319407899550359,-0.32166414637819146,0.9487106191235217,6.8900000000001,0.0
869,29,27,1056.36,364.805,1047.17,367.101,0.0,,,0.0,0.0
878,30,6,312.936,188.12199999999996,353.715,204.493,8.345464456817217,0.9828269568797559,0.5546725438652655,1.1499999999998636,-1.1479999999999961
