,ant_id,surrogate_x,surrogate_y
0,6,279.646,159.36512054339622
1,6,376.2335089860102,160.05195939344406
2,6,384.48036115383195,160.70726514340043
3,6,343.87781083208773,161.93650364866596
4,6,381.6839829345728,162.39561262630093
5,6,410.00329371443706,154.2871241869395
6,6,346.1820912300377,166.24239241907253
7,6,323.47924075676644,160.17074463654342
8,6,407.0882199058232,163.8523759331265
9,6,370.34912143482563,168.2970142554862
10,6,363.8824760056756,170.7525618688437
11,6,405.804392101041,180.34500775743393
12,6,347.0696430274753,180.973403048816
13,6,376.16786222239136,167.31762251988863
14,6,420.15801035807624,181.42530011399379
15,6,417.8472873037213,166.79974284441772
16,6,429.2345119506989,173.55029779331744
17,6,430.2869076116557,178.47751939914158
18,6,433.8528528540168,181.871855726443
19,6,434.6548553486398,184.57781983090476
20,6,437.39756942344764,172.0331470386725
21,6,440.75868544709584,173.48201724858214
22,6,442.55686007637075,174.51458670702658
23,6,443.96437398461654,187.67540938777955
24,6,444.75478856403583,185.25213945622312
25,6,445.5045430719758,187.95035756117218
26,6,448.9866487465555,188.74631010299413
27,6,459.99632178837237,193.66244831905516
28,6,455.0541116666775,198.6278913889192
29,6,462.6049936428186,197.25220244790245
30,6,476.4825055208358,215.88618840886843
31,6,465.2364445565796,216.1900964288704
32,6,472.5914717622484,207.94389781050575
33,6,491.03682605625636,225.07961866445393
34,6,521.3209852141354,227.84448597659025
35,6,494.3371614570517,234.1122904611351
36,6,523.5161204604839,248.03904436111026
37,6,517.7193029968606,262.0228830662202
38,6,515.6848609789915,267.14218236569735
39,6,513.2970055338048,263.9706300962306
40,6,500.8258548767227,269.79843340694583
41,6,511.1164959659512,271.1358648551179
42,6,474.1590814234877,285.7983382958555
43,6,483.2204988537919,273.5599394537989
44,6,474.8219136454812,275.4787024456416
45,6,470.60535477711676,267.7056579257626
46,6,499.1752785285926,274.96889819677665
47,6,486.52984621818655,282.13896921937203
48,6,522.7284672817182,286.8508326484225
49,6,506.2036933680499,284.2975438939392
50,6,508.1596066318783,293.1537120664896
51,6,500.99081528941247,297.97347074643784
52,6,525.8419546811269,295.78414381157575
53,6,532.7342881904863,291.7229494401305
54,6,533.1679885675713,295.8589831331722
55,6,527.5382569315279,290.8721661676932
56,6,534.791794309893,307.7577754307231
57,6,537.245323709604,307.34306222857015
58,6,540.6137942438506,305.56062838535513
59,6,537.2111438893448,305.55806995916754
60,6,540.6664483263517,306.20525475457697
61,6,538.143025034306,294.0506598344409
62,6,540.8979520099311,304.59798295440055
63,6,540.5678259677362,288.0403172366589
64,6,541.0459470284967,299.8498555677191
65,6,542.0875211027703,290.08073809603195
66,6,544.1374839972591,294.15283163632915
